country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,1,universal,choose what to do,like when you decide between different things,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,2,universal,feel happy,like when you feel good,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,3,universal,feel pain,like when something hurts you,yes,yes,1,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,4,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,5,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,6,universal,feel love,like when you really like somebody and care about them a lot,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,7,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,8,universal,hear things,like when you hear a noise,yes,yes,1,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,9,universal,pray,like when you pray,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,10,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,11,universal,sense when things are far away,like when you see that something is far away from you,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,13,universal,remember things,like when you remember something that happened before,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,14,universal,sense temperatures,like when you can tell if something is warm or cool,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,15,universal,feel scared,like when you feel afraid,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,16,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,17,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,18,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,19,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,20,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,21,universal,get angry,like when you feel mad,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,23,universal,feel tired,like when you feel sleepy,no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,24,universal add-on,have minds,[NONE],NA,NA,NA,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,25,universal add-on,have souls,[NONE],no,no,0,NA
Ghana,gh_adults_001_mice,male,33,Eunice,ins,universal,mice,mice,6,26,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,3,universal,feel love,like when you really like somebody and care about them a lot,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,4,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,6,universal,sense when things are far away,like when you see that something is far away from you,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,7,universal,feel happy,like when you feel good,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,9,universal,get angry,like when you feel mad,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,11,universal,feel pain,like when something hurts you,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,13,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,14,universal,feel tired,like when you feel sleepy,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,15,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,16,universal,pray,like when you pray,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,17,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,18,universal,feel scared,like when you feel afraid,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,20,universal,choose what to do,like when you decide between different things,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,21,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,22,universal,hear things,like when you hear a noise,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,23,universal,remember things,like when you remember something that happened before,no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,24,universal add-on,bleed if they touch something sharp,[NONE],no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,25,universal add-on,have souls,[NONE],no,no,0,NA
Ghana,gh_adults_002_rocks,female,29,Eunice,ins,universal,rocks,rocks,1,26,universal add-on,have minds,[NONE],no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,3,universal,feel love,like when you really like somebody and care about them a lot,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,4,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,6,universal,sense when things are far away,like when you see that something is far away from you,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,7,universal,feel happy,like when you feel good,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,9,universal,get angry,like when you feel mad,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,11,universal,feel pain,like when something hurts you,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,13,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,14,universal,feel tired,like when you feel sleepy,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,15,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,16,universal,pray,like when you pray,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,17,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,18,universal,feel scared,like when you feel afraid,no,no,0,NA
Ghana,gh_adults_003_ghosts,male,36,Eunice,ins,universal,ghosts,ghosts,1,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
