country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,1,universal,figure out how to do things,like when you learn a new fact or understand something new,kind of,kind of,0.5,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,kind of,kind of,0.5,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,3,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,4,universal,get hungry,like when you feel like you need to eat something,no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,5,universal,smell things,"like when you can tell if something smells sweet, or rotten",no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,6,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,7,universal,feel happy,like when you feel good,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,8,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,9,universal,get angry,like when you feel mad,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,10,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,11,universal,feel pain,like when something hurts you,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,12,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,13,universal,feel sad,like when you feel bad or unhappy,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,14,universal,feel tired,like when you feel sleepy,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,15,universal,feel proud,like when you feel really good about something you did,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,16,universal,pray,like when you pray,no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,17,universal,feel shy,like when you feel quiet or embarrassed,no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,18,universal,feel scared,like when you feel afraid,no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,19,universal,feel guilty,like when you feel bad because you did something mean,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,20,universal,choose what to do,like when you decide between different things,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,21,universal,think about things,like when you have a thought or an idea about something,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,22,universal,hear things,like when you hear a noise,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,23,universal,remember things,like when you remember something that happened before,yes,yes,1,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,24,universal add-on,bleed if they touch something sharp,[NONE],no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,25,universal add-on,have souls,[NONE],no,no,0,NA
China,ch_children_001_crickets,female,NA,hw,shanghai,universal,crickets,crickets,1,26,universal add-on,have minds,[NONE],no,no,0,NA
